0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.68220836,2.6095576,-2.5682619,3.661671,0.028843623,-1.0208491,-1.6600338,-1.1818737,-0.13179183,-0.11476844,-0.13766158,-0.11312524,-0.090876,-0.47601327,0.0
-0.2909418,0.40392464,0.8954018,-0.17311592,-0.014628101,-0.5061428,-0.49277103,0.45256218,-0.13091587,-0.114320226,-0.13640997,-0.11271311,-0.090856254,0.28911734,1.0
2.235418,-1.4589882,-0.052148312,-0.2531143,-0.15341277,-0.4327609,0.9791022,-0.81703436,-0.1315412,-0.11463566,-0.13729453,-0.11300447,-0.09087081,-0.8376527,0.0
-0.6785602,2.189701,-2.0619524,5.6452885,3.2403445,-4.4806013,-4.2097206,-1.2187154,2.6657283,1.3094474,3.862251,1.2043803,-0.027752733,-0.42025426,0.0
2.2390661,-1.233764,0.18109415,-0.24917349,-0.138939,-0.4844471,0.94088197,-0.8447919,-0.13144054,-0.11458633,-0.13715522,-0.112958096,-0.090868406,-0.7704176,0.0
2.235418,-1.4453193,-0.44678304,-0.2569566,-0.15721105,-0.43887603,1.042381,-0.8095559,-0.13150026,-0.11461793,-0.13724083,-0.11298636,-0.09086954,-0.8496015,0.0
-0.56181866,0.44123483,0.9247679,-0.26592192,-0.157442,-0.78132486,-0.15279666,0.9878004,-0.1331046,-0.115388215,-0.13957946,-0.113690905,-0.0908203,-1.0506867,0.0
-0.24989985,0.68614286,0.040844794,-0.15518525,-0.15654662,-0.14840604,-0.55213165,0.24435788,-0.13203782,-0.11489253,-0.13801287,-0.11324094,-0.09088194,1.0706022,1.0
-0.2553721,0.56040883,0.24738728,-0.15193409,-0.13237123,-0.2126152,-0.57506645,0.27817157,-0.13148603,-0.11461314,-0.13722384,-0.112980664,-0.0908691,0.96604395,1.0
-0.6858565,0.78951204,1.3843746,-0.02549592,-0.157442,1.4068655,0.1968718,-1.1475093,-0.13244979,-0.115103096,-0.13860175,-0.11343439,-0.0908913,-0.54449314,0.0
-0.2845575,0.47362503,0.69081706,-0.16346094,-0.051338885,-0.41135782,-0.52245134,0.47440115,-0.13114578,-0.114437394,-0.13673666,-0.112820454,-0.090861395,0.41164228,1.0
-0.56181866,0.3844531,0.6222992,-0.2630989,-0.14816216,-1.0646228,-0.27784705,1.0031245,-0.13303956,-0.11524925,-0.13960822,-0.113547675,-0.09062092,-1.0611819,0.0
2.2308578,-1.7904977,0.04293216,-0.25895327,-0.157442,-0.42684877,1.0828937,-0.73445004,-0.13157983,-0.114657894,-0.13735183,-0.11302338,-0.09087161,-0.9246585,0.0
2.233594,-1.6213022,0.06753209,-0.25449708,-0.15521944,-0.45574647,1.0116256,-0.786937,-0.13169885,-0.11471742,-0.13752286,-0.11307937,-0.09087427,-0.88410383,0.0
-0.2845575,0.48524177,0.6330635,-0.15745121,-0.045071192,-0.41441542,-0.53054595,0.44957995,-0.131063,-0.114396825,-0.13662012,-0.11278171,-0.09085968,0.41866687,1.0
